variant_a,variant_b,mean_diff,cohens_d,diff_ci_low,diff_ci_high,n_seeds_a,n_seeds_b,group,dataset
gps,gatv2,0.03921866416931152,,,,1,1,conv_type,set_01
gps,gat,0.03675436973571777,,,,1,1,conv_type,set_01
gat,gatv2,0.00246429443359375,,,,1,1,conv_type,set_01
mlp,weighted_avg,0.8882881551980972,,,,1,1,fusion,set_01
bandit,weighted_avg,0.8867465406656265,,,,1,1,fusion,set_01
dqn,weighted_avg,0.8862819224596024,,,,1,1,fusion,set_01
mlp,dqn,0.002006232738494873,,,,1,1,fusion,set_01
mlp,bandit,0.0015416145324707031,,,,1,1,fusion,set_01
bandit,dqn,0.0004646182060241699,,,,1,1,fusion,set_01
ce,focal,0.004857122898101807,,,,1,1,gat_loss,set_01
ce,weighted_ce,0.002539396286010742,,,,1,1,gat_loss,set_01
weighted_ce,focal,0.0023177266120910645,,,,1,1,gat_loss,set_01
none,curriculum_vgae,0.2026737928390503,,,,1,1,gat_sampling,set_01
none,curriculum_random,0.1992090940475464,,,,1,1,gat_sampling,set_01
curriculum_random,curriculum_vgae,0.0034646987915039062,,,,1,1,gat_sampling,set_01
hash,lookup,0.03100067377090454,,,,1,1,id_encoding,set_01
learned_unk,lookup,0.015675902366638184,,,,1,1,id_encoding,set_01
hash,learned_unk,0.015324771404266357,,,,1,1,id_encoding,set_01
