variant_a,variant_b,mean_a,mean_b,gap,n_seeds_a,n_seeds_b,group,dataset
moe,dqn,0.996709,0.993468,0.00324,1,1,fusion,hcrl_sa
moe,moe_noaux,0.545567,0.54379,0.001777,1,1,fusion,set_01
dqn,moe,0.549108,0.545567,0.00354,1,1,fusion,set_01
dqn,moe_noaux,0.549108,0.54379,0.005318,1,1,fusion,set_01
moe,moe_noaux,0.521521,0.521081,0.00044,1,1,fusion,set_02
mlp,moe,0.522061,0.521521,0.00054,1,1,fusion,set_02
mlp,moe_noaux,0.522061,0.521081,0.00098,1,1,fusion,set_02
bandit,dqn,0.404812,0.403727,0.001085,1,1,fusion,set_02
moe_noaux,weighted_avg,0.521081,0.516125,0.004956,1,1,fusion,set_02
moe,weighted_avg,0.521521,0.516125,0.005396,1,1,fusion,set_02
mlp,weighted_avg,0.522061,0.516125,0.005936,1,1,fusion,set_02
moe,moe_noaux,0.681839,0.68179,4.9e-05,1,1,fusion,set_03
moe_noaux,mlp,0.68179,0.679928,0.001862,1,1,fusion,set_03
moe,mlp,0.681839,0.679928,0.001911,1,1,fusion,set_03
dqn,weighted_avg,0.662291,0.656668,0.005623,1,1,fusion,set_03
mlp,dqn,0.679928,0.662291,0.017637,1,1,fusion,set_03
moe_noaux,dqn,0.68179,0.662291,0.019499,1,1,fusion,set_03
moe,dqn,0.681839,0.662291,0.019548,1,1,fusion,set_03
mlp,moe_noaux,0.423701,0.422504,0.001197,1,1,fusion,set_04
moe_noaux,weighted_avg,0.422504,0.416682,0.005822,1,1,fusion,set_04
mlp,weighted_avg,0.423701,0.416682,0.007019,1,1,fusion,set_04
dqn,mlp,0.439692,0.423701,0.015991,1,1,fusion,set_04
dqn,moe_noaux,0.439692,0.422504,0.017188,1,1,fusion,set_04
weighted_ce,ce,0.835233,0.835233,0.0,1,1,gat_loss,hcrl_sa
weighted_ce,focal,0.835233,0.835028,0.000205,1,1,gat_loss,hcrl_sa
ce,focal,0.835233,0.835028,0.000205,1,1,gat_loss,hcrl_sa
focal,weighted_ce,0.574432,0.568993,0.005439,1,1,gat_loss,set_01
ce,weighted_ce,0.538977,0.533123,0.005854,1,1,gat_loss,set_02
weighted_ce,focal,0.533123,0.521399,0.011725,1,1,gat_loss,set_02
ce,focal,0.538977,0.521399,0.017578,1,1,gat_loss,set_02
focal,weighted_ce,0.682055,0.680911,0.001144,1,1,gat_loss,set_03
weighted_ce,ce,0.680911,0.676205,0.004706,1,1,gat_loss,set_03
focal,ce,0.682055,0.676205,0.00585,1,1,gat_loss,set_03
curriculum_random,none,0.835233,0.835028,0.000205,1,1,gat_sampling,hcrl_sa
none,curriculum_vgae,0.522265,0.521893,0.000372,1,1,gat_sampling,set_02
curriculum_random,none,0.530282,0.522265,0.008018,1,1,gat_sampling,set_02
curriculum_random,curriculum_vgae,0.530282,0.521893,0.00839,1,1,gat_sampling,set_02
curriculum_random,none,0.682612,0.682485,0.000127,1,1,gat_sampling,set_03
none,curriculum_vgae,0.682485,0.674422,0.008062,1,1,gat_sampling,set_03
curriculum_random,curriculum_vgae,0.682612,0.674422,0.00819,1,1,gat_sampling,set_03
none,curriculum_vgae,0.414711,0.410572,0.00414,1,1,gat_sampling,set_04
curriculum_random,none,0.432215,0.414711,0.017503,1,1,gat_sampling,set_04
hash,lookup,0.57353,0.565611,0.00792,1,1,id_encoding,set_01
hash,lookup,0.685035,0.682477,0.002558,1,1,id_encoding,set_03
